WIND_ONSHORE,WIND_OFFSHORE,PV
0.07,0.104,0.0
0.05,0.091,0.0
0.04,0.0693,0.0
0.03,0.0563,0.0
0.02,0.0477,0.0
0.03,0.0433,0.0
0.03,0.039,0.0
0.013,0.039,0.0
0.03,0.0433,0.01
0.024,0.0477,0.02
0.034,0.0477,0.03
0.03,0.039,0.07
0.02,0.0303,0.10
0.01,0.026,0.12
0.015,0.026,0.10
0.01,0.026,0.08
0.01,0.0303,0.07
0.03,0.039,0.05
0.04,0.052,0.0
0.05,0.065,0.0
0.06,0.078,0.0
0.07,0.0867,0.0
0.07,0.0953,0.0
0.08,0.1993,0.0
0.31,0.299,0.0
0.3,0.39,0.0
0.29,0.377,0.0
0.28,0.3813,0.0
0.31,0.39,0.0
0.31,0.416,0.0
0.34,0.4377,0.0
0.36,0.4637,0.0
0.37,0.4767,0.0
0.37,0.481,0.05
0.37,0.4853,0.21
0.38,0.4983,0.38
0.4,0.52,0.43
0.42,0.546,0.43
0.44,0.5633,0.4
0.44,0.5763,0.37
0.45,0.5807,0.25
0.45,0.5893,0.08
0.46,0.598,0.0
0.47,0.598,0.0
0.45,0.5547,0.0
0.36,0.4897,0.0
0.32,0.429,0.0
0.31,0.4203,0.0
0.34,0.4247,0.0
0.33,0.429,0.0
0.32,0.4203,0.0
0.32,0.4117,0.0
0.31,0.3987,0.0
0.29,0.3813,0.0
0.28,0.3727,0.0
0.29,0.3727,0.0
0.29,0.3683,0.01
0.27,0.3423,0.15
0.23,0.3033,0.34
0.2,0.2643,0.45
0.18,0.247,0.55
0.19,0.26,0.6
0.23,0.2903,0.55
0.25,0.325,0.43
0.27,0.3467,0.29
0.28,0.364,0.15
0.29,0.3727,0.03
0.29,0.377,0.0
0.29,0.377,0.0
0.29,0.377,0.0
0.29,0.3727,0.0
0.28,0.3337,0.0
0.2,0.2947,0.0
0.2,0.2687,0.0
0.22,0.2817,0.0
0.23,0.299,0.0
0.24,0.3077,0.0
0.24,0.312,0.0
0.24,0.312,0.01
0.24,0.3077,0.01
0.23,0.299,0.01
0.22,0.2817,0.13
0.2,0.2513,0.29
0.16,0.2037,0.42
0.11,0.1517,0.42
0.08,0.1127,0.49
0.07,0.0953,0.52
0.07,0.0953,0.5
0.08,0.1083,0.44
0.1,0.1473,0.36
0.16,0.2037,0.24
0.21,0.273,0.12
0.26,0.3207,0.02
0.27,0.3467,0.0
0.27,0.3467,0.0
0.26,0.416,0.0
0.43,0.4897,0.0
0.44,0.5677,0.0
0.44,0.5807,0.0
0.46,0.5937,0.0
0.47,0.6067,0.0
0.47,0.611,0.0
0.47,0.6197,0.0
0.49,0.6197,0.0
0.47,0.6067,0.03
0.44,0.5677,0.19
0.4,0.4983,0.39
0.31,0.3727,0.5
0.15,0.2513,0.49
0.12,0.1647,0.53
0.11,0.1517,0.55
0.12,0.143,0.52
0.1,0.1387,0.46
0.1,0.1387,0.38
0.12,0.1733,0.28
0.18,0.2123,0.15
0.19,0.2383,0.03
0.18,0.2297,0.0
