Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand
1.0;0.09088;1.40287;1.0;1.0;1.32;3.66;0.165;0.12;5.265;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.315;6.35287;0.0;0.0;3.47221;6.94256;2.82288;4.5;-1.32;-3.66;-0.165;-0.12;0.0;0.0;0.0;0.0;1.32;3.66;0.165;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.265;6.66787
2.0;0.08714;1.40281;1.0;1.0;0.285;3.155;0.165;0.075;3.68;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.225;4.85781;0.0;0.0;3.47221;6.94256;2.82288;4.5;-0.285;-3.155;-0.165;-0.075;0.0;0.0;0.0;0.0;0.285;3.155;0.165;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.68;5.08281
3.0;0.08719;1.37684;1.0;1.0;0.255;3.155;0.165;0.105;3.68;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.18;4.87684;0.0;0.0;3.47221;6.94256;2.82288;4.5;-0.255;-3.155;-0.165;-0.105;0.0;0.0;0.0;0.0;0.255;3.155;0.165;0.105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.68;5.05684
4.0;0.08718;1.35769;1.0;1.0;0.225;3.155;0.165;0.105;3.65;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.135;4.87269;0.0;0.0;3.47221;6.94256;2.82288;4.5;-0.225;-3.155;-0.165;-0.105;0.0;0.0;0.0;0.0;0.225;3.155;0.165;0.105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.65;5.00769
5.0;0.08957;1.2612;1.0;1.0;0.165;4.055;0.33;0.105;4.655;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.09;5.8262;0.0;0.0;3.47221;6.94256;2.82288;4.5;-0.165;-4.055;-0.33;-0.105;0.0;0.0;0.0;0.0;0.165;4.055;0.33;0.105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.655;5.9162
6.0;0.09199;1.42198;1.0;1.0;0.165;4.55;0.63;0.165;5.51;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.135;6.79698;0.0;0.0;3.47221;6.94256;2.82288;4.5;-0.165;-4.55;-0.63;-0.165;0.0;0.0;0.0;0.0;0.165;4.55;0.63;0.165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.51;6.93198
7.0;0.10355;1.59712;1.0;1.0;0.33;4.955;1.53;0.435;7.25;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.135;6.94256;1.76959;0.0;3.47221;6.94256;2.82288;4.5;-0.33;-4.955;-1.53;-0.435;0.0;0.0;0.0;0.0;0.33;4.955;1.53;0.435;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.25;8.84712
8.0;0.10675;1.34493;1.0;1.0;0.66;4.95;2.43;0.99;9.03;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0585;6.94256;3.3739;0.0;3.47221;6.94256;2.82288;4.5;-0.66;-4.95;-2.43;-0.99;0.0;0.0;0.0;0.0;0.66;4.95;2.43;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.03;10.37493
9.0;0.15101;1.34381;1.0;1.0;0.9;5.25;3.0;0.576;9.726;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.135;6.94256;3.47221;0.48586;3.47221;6.94256;2.82288;4.5;-0.885;-5.235;-3.0;-0.5715;0.0;0.0;0.0;0.0;0.9;5.25;3.0;0.576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.726;11.06981
10.0;0.15145;1.22693;1.0;1.0;1.26;5.15;3.3;0.36;10.07;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.108;6.94256;3.47221;0.70548;3.47221;6.94256;2.82288;4.5;-1.23;-5.12;-3.3;-0.351;0.0;0.0;0.0;0.0;1.26;5.15;3.3;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;10.07;11.29693
11.0;0.15186;1.47439;1.0;1.0;1.5;4.75;3.66;0.198;10.108;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.153;6.94256;3.47221;0.91144;3.47221;6.94256;2.82288;4.5;-1.455;-4.705;-3.66;-0.1845;0.0;0.0;0.0;0.0;1.5;4.75;3.66;0.198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.045;0.0;0.0135;0.1035;0.0;10.108;11.58239
